key,en,pt_br,jp
CONTEXT_GAMBLING_MAX,Max,Máx.,最大
CONTEXT_GAMBLING_MIN,Min,Mín.,最低
CONTEXT_GENRE_ACTION,Action game,Jogo de ação,アクションゲーム
CONTEXT_GENRE_ADVENTURE,Adventure game,Jogo de aventura,アドベンチャーゲーム
CONTEXT_GENRE_CARD,Card,Cartas,カード
CONTEXT_GENRE_CASUAL,Casual game,Jogo casual,カジュアルゲーム
CONTEXT_GENRE_FANTASY,Fantasy game,Jogo de fantasia,ファンタジーゲーム
CONTEXT_GENRE_HARDCORE,Hardcore game,Jogo hardcore,ハードコアゲーム
CONTEXT_GENRE_INDIE,Indie,Indie,独立系開発会社
CONTEXT_GENRE_MEDIEVAL,Medieval game,Jogo medieval,中世風ゲーム
CONTEXT_GENRE_MISC,Misc.,Diversos,その他
CONTEXT_GENRE_MULTIPLAYER,Multiplayer,Multi jogadores,マルチプレイヤー
CONTEXT_GENRE_NAME,Genre,Gênero,ジャンル
CONTEXT_GENRE_PLATFORMER,Platformer game,Jogo de plataforma,プラットフォームゲーム
CONTEXT_GENRE_PUZZLE,Puzzle game,Quebra-cabeça,パズルゲーム
CONTEXT_GENRE_QUIZ,Quiz game,Jogo de perguntas e respostas,クイズゲーム
CONTEXT_GENRE_RACING,Racing,Corrida,レース
CONTEXT_GENRE_RETRO,Retro game,Jogo retrô,レトロゲーム
CONTEXT_GENRE_RPG,Roleplaying game,Jogo de RPG,ロールプレイングゲーム
CONTEXT_GENRE_RTS,Real-time strategy,Estratégia em tempo real,リアルタイムシミュレーション
CONTEXT_GENRE_SCIFI,Science fiction game,Jogo de ficção científica,SFゲーム
CONTEXT_GENRE_SHOOTER,Shooter game,Jogo de tiro,シューティングゲーム
CONTEXT_GENRE_SIMULATION,Simulation game,Jogo de simulação,シミュレーションゲーム
CONTEXT_GENRE_SINGLEPLAYER,Singleplayer,Um jogador,シングルプレイヤー
CONTEXT_GENRE_SPORTS,Sports game,Jogo de esportes,スポーツゲーム
CONTEXT_GENRE_STRATEGY,Strategy game,Jogo de estratégia,ストラテジーゲーム
CONTEXT_GENRE_TBS,Turn-based strategy,Estratégia baseada em turnos,ターン制シミュレーション
CONTEXT_GENRE_TOWER_DEFENSE,Tower defence game,Jogo de torres de defesa,タワーディフェンスゲーム
CONTEXT_HINT_NPC,"If the price is too high, not everybody will be able to afford it.","Se o preço for muito alto, vai ser mais difícil de vender.",価格が高すぎると、誰もがそれを買う余裕があるわけではありません。
CONTEXT_HINT_SLEEP,"If it is night time, go to sleep in the store's second floor.","Se for noite, durma no segunda andar da loja para passar o dia.",夜間の場合は、2階で寝てください。
CONTEXT_HINT_STORE,"To open the store, go to the counter.","Para abrir a loja, vá ao balcão.",店を開くには、カウンターに行きます。
CONTEXT_INVENTORY,Inventory,Inventário,インベントリ
CONTEXT_INVENTORY_AMMO,Ammo,Munição,弾薬
CONTEXT_INVENTORY_AMMUNITION,Ammunition,Munição,弾薬
CONTEXT_INVENTORY_BULLET,Bullet,Bala,弾
CONTEXT_INVENTORY_BULLET_PLURAL,Bullets,Balas,弾
CONTEXT_INVENTORY_BUY,Buy,Comprar,買う
CONTEXT_INVENTORY_CAPACITY,Inventory Capacity,Capacidade do Inventário,インベントリ容量
CONTEXT_INVENTORY_DROP,Drop,Largar,捨てる
CONTEXT_INVENTORY_ENCUMBRANCE,Encumbrance,Peso,持ち運べる量
CONTEXT_INVENTORY_FULL,Inventory Full,Inventário Cheio,インベントリがいっぱいです
CONTEXT_INVENTORY_ITEM,Item,Item,アイテム
CONTEXT_INVENTORY_ITEM_PLURAL,Items,Items,アイテム
CONTEXT_INVENTORY_KEY,Key,Chave,鍵
CONTEXT_INVENTORY_POWERUP,Power-up,Powerup,パワーアップ
CONTEXT_INVENTORY_SELL,Sell,Vender,売る
CONTEXT_INVENTORY_USE,Use,Usar,使用する
CONTEXT_INVENTORY_WEAPON,Weapon,Arma,武器
CONTEXT_INVENTORY_WEAPONS,Weapons,Armas,武器
CONTEXT_INVENTORY_YOU_CANNOT_CARRY,You cannot carry any more.,Você não pode carregar mais nada.,これ以上持てません。
CONTEXT_ITEM_ANCHOR,Anchor,Âncora,錨
CONTEXT_ITEM_ARMOR,Armor,Armadura,鎧
CONTEXT_ITEM_ARROW,Arrow,Flecha,矢
CONTEXT_ITEM_ARROW_PLURAL,Arrows,Flechas,矢
CONTEXT_ITEM_BOARD,Board,Tabuleiro,盤
CONTEXT_ITEM_BOMB,Bomb,Bomba,爆弾
CONTEXT_ITEM_BOOK,Book,Livro,本
CONTEXT_ITEM_BOOTS,Boots,Botas,靴
CONTEXT_ITEM_BOW,Bow,Arco,弓
CONTEXT_ITEM_CARD,Card,Carta,カード
CONTEXT_ITEM_CARD_PLURAL,Cards,Cartas,カード
CONTEXT_ITEM_CHEST,Chest,Baú,箱
CONTEXT_ITEM_COND_MAGICAL,Magic,Mágico,魔法の
CONTEXT_ITEM_COND_RUSTY,Rusty,Enferrujado,錆びた
CONTEXT_ITEM_DAGGER,Dagger,Adaga,短刀
CONTEXT_ITEM_DESCRIPTION_ANCHOR,Used rusty anchor,Âncora enferrujada usada.,錆び錆び中古錨
CONTEXT_ITEM_DESCRIPTION_BOMB,A bomb with a rope wick.,Uma bomba com pavio de corda.,ロープ芯のある爆弾
CONTEXT_ITEM_DESCRIPTION_BOOK,The pirate's bible.,A biblía do pirata.,海賊の聖書
CONTEXT_ITEM_DESCRIPTION_FLAG,A flag with a skull drawn to it.,Uma bandeira com um desenho de caveira.,頭蓋骨が描かれた旗
CONTEXT_ITEM_DESCRIPTION_GEM,A beautiful gem.,Uma linda joia.,綺麗宝石
CONTEXT_ITEM_DESCRIPTION_GRAIL,Doesn't look like the real thing.,"Não parace ser autêntico,",本物のようには見えません。
CONTEXT_ITEM_DESCRIPTION_HELM,A ship's helm. Wonder where it came from.,Um leme. Espero não ser do meu navio.,船の舵。 それはどこから来たのだろうか。
CONTEXT_ITEM_DESCRIPTION_KEY,A golden key.,Uma chave dourada.,黄金の鍵
CONTEXT_ITEM_DESCRIPTION_MAP,A treasure map... Hopefully.,"Com sorte, um mapa do tesouro",宝の地図... うまくいけば。
CONTEXT_ITEM_DESCRIPTION_NECKLACE,A necklace with a jewel in the center.,Um colar com uma joia.,宝石で首飾り
CONTEXT_ITEM_DESCRIPTION_PLUSHIE,A strange looking parrot plush toy.,Um papagaio de pelúcia com uma cara estranha.,奇妙なオウムのぬいぐるみ
CONTEXT_ITEM_DESCRIPTION_RUM,A bottle of rum.,Uma garrafa de rum.,ラム酒の瓶
CONTEXT_ITEM_DESCRIPTION_SPYGLASS,Probably a captain's spyglass.,Provavelmente a luneta de um capitão.,おそらく船長のスパイグラス
CONTEXT_ITEM_DESCRIPTION_SWORD,A battle-scarred sword.,Uma espada com marcas de uso.,戦いで傷ついた剣。
CONTEXT_ITEM_DESCRIPTION_TENTACLE,A weird green and purple tentacle plush.,Uma pelúcia verda e roxa muito estranha.,奇妙な緑と紫の触手ぬいぐるみ。
CONTEXT_ITEM_DIE_NOUN,Die,Dado,サイコロ
CONTEXT_ITEM_DIE_PLURAL,Dice,Dados,サイコロ
CONTEXT_ITEM_DOOR,Door,Porta,扉
CONTEXT_ITEM_EFFECTS_RUM,Recovers health and stamina.,Recupera vida e energia.,健康とスタミナを回復します
CONTEXT_ITEM_FLAG,Flag,Bandeira,旗
CONTEXT_ITEM_GAUNTLETS,Gauntlets,Manopla,籠手
CONTEXT_ITEM_GEM,Gem,Jóia,ジェム
CONTEXT_ITEM_GIFT_NOUN,Gift,Presente,ギフト
CONTEXT_ITEM_GIFT_PLURAL,Gifts,Presentes,ギフト
CONTEXT_ITEM_GLOVE,Gloves,Luvas,手袋
CONTEXT_ITEM_GRAIL,Holy Grail,Santo Graal,聖杯
CONTEXT_ITEM_GUN,Gun,Arma de fogo,銃
CONTEXT_ITEM_HAMMER,Hammer,Martelo,戦鎚
CONTEXT_ITEM_HELM,Helm,Timão,舵
CONTEXT_ITEM_HELMET,Helmet,Elmo,兜
CONTEXT_ITEM_KEY,Key,Chave,鍵
CONTEXT_ITEM_KNIFE,Knife,Faca,ナイフ
CONTEXT_ITEM_LOCK,Lock,Fechadura,鍵
CONTEXT_ITEM_LOVE,Love,Amor,愛
CONTEXT_ITEM_MACHINE_ITEM_GUN,Machine Gun,Metralhadora,マシンガン
CONTEXT_ITEM_MAGIC,Magic,Magia,魔法
CONTEXT_ITEM_NECKLACE,Jewelled Necklace,Colar de joias,首飾り
CONTEXT_ITEM_PISTOL,Pistol,Pistola,ピストル
CONTEXT_ITEM_PLUSHIE,Parrot Plushie,Papagaio de Pelúcia,オウムぬいぐるみ
CONTEXT_ITEM_QUEST_NOUN,Quest,Missão,クエスト
CONTEXT_ITEM_RANK_NOUN,Rank,Patente,ランク
CONTEXT_ITEM_RIFLE,Rifle,Rifle,ライフル
CONTEXT_ITEM_ROCKET_ITEM_LAUNCHER,Rocket Launcher,Lança-Foguetes,ロケットランチャー
CONTEXT_ITEM_RPG,RPG,RPG,RPG
CONTEXT_ITEM_RUM,Rum,Rum,ラム酒
CONTEXT_ITEM_SCROLL,Scroll,Pergaminho,巻物
CONTEXT_ITEM_SHIELD,Shield,Escudo,盾
CONTEXT_ITEM_SHIELD_PLURAL,Shields,Escudos,盾
CONTEXT_ITEM_SHIELD_SCIFI,Energy shield,Escudo de energia,エネルギーシールド
CONTEXT_ITEM_SHIELD_SCIFI_PLURAL,Energy shields,Escudos de energia,エネルギーシールド
CONTEXT_ITEM_SHOTGUN,Shotgun,Espingarda,ショットガン
CONTEXT_ITEM_SNIPER_ITEM_RIFLE,Sniper rifle,Rifle furtivo,スナイパーライフル
CONTEXT_ITEM_SPELL,Spell,Feitiço,呪文
CONTEXT_ITEM_SPYGLASS,Spyglass,Luneta,スパイグラス
CONTEXT_ITEM_STAFF,Staff,Cajado,杖
CONTEXT_ITEM_SWORD,Sword,Espada,剣
CONTEXT_ITEM_TENTACLE,Tentacle Plushie,Tentáculo de Pelúcia,触手ぬいぐるみ
CONTEXT_ITEM_TREASURE,Treasure,Tesouro,財宝
CONTEXT_ITEM_TYPE_EPIC,Epic,Épico,壮麗な
CONTEXT_ITEM_TYPE_JUNK,Junk,Lixo,がらくたの
CONTEXT_ITEM_WAND,Wand,Varinha Mágica,魔法の杖
CONTEXT_ITEM_WOOD,Wood,Madeira,木
CONTEXT_LABEL_BE_CAREFUL,Be careful!,Tenha cuidado!,気をつけて！
CONTEXT_LABEL_CONNECT_TO_TWITCH,Conect to a Twitch Channel,Conectar ao Canal da Twitch,Twitchチャンネルにコネクトする
CONTEXT_LABEL_PLEASE_BE_CAREFUL,Please be careful.,Por favor tenha cuidado.,気をつけてください。
CONTEXT_LABEL_TACTICS,Tactics,Tática,作戦
CONTEXT_MACHINE_ALTITUDE,Altitude,Altitude,高度
CONTEXT_MACHINE_BRAKES,Brakes,Freios,ブレーキ
CONTEXT_MACHINE_CHASSIS,Chassis,Chassi,シャシ
CONTEXT_MACHINE_DEPTH,Depth,Profundidade,深度
CONTEXT_MACHINE_FUEL,Fuel,Combustível,燃料
CONTEXT_MACHINE_GEAR,Gear,Marcha,ギア
CONTEXT_MACHINE_HANDLING,Handling,Manejo,ハンドリング
CONTEXT_MACHINE_SPEED,Speed,Velocidade,速度
CONTEXT_MACHINE_STEERING,Steering,Condução,ステアリング
CONTEXT_MACHINE_SUSPENSION,Suspension,Suspensão,サスペンション
CONTEXT_MACHINE_WHEELS,Wheels,Rodas,乗り物
CONTEXT_MACHINE_WINGS,Wings,Asas,ウィング
CONTEXT_MAIN_OBJECTIVE,Your objective is to get ten thousand coins.,Seu objetivo é pegar dez mil moedas.,すまん
CONTEXT_MAP,Map,Mapa,地図
CONTEXT_MEDAL,Medal,Medalha,メダル
CONTEXT_MEDAL_BRONZE,Bronze medal,Medalha de Bronze,ブロンズメダル
CONTEXT_MEDAL_GOLD,Gold medal,Medalha de Ouro,ゴールドメダル
CONTEXT_MEDAL_SILVER,Silver medal,Medalha de Prata,シルバーメダル
CONTEXT_MESSAGE_KILLED_BY,You were killed by,Você foi morto por,に殺されました。
CONTEXT_MESSAGE_KILLED_TIMES,You died,Você morreu,これまでに
CONTEXT_MESSAGE_KILLED_TIMES_END,time so far.,vezes até agora.,回殺されました。
CONTEXT_METAL_BRONZE,Bronze,Bronze,銅
CONTEXT_METAL_COIN,Coins,Moedas,硬貨
CONTEXT_METAL_COIN_TOTAL, Total coins, Total de moedas, 総計硬貨
CONTEXT_METAL_GOLD,Gold,Ouro,金
CONTEXT_METAL_INGOT,Ingot,Barra,延べ棒
CONTEXT_METAL_PLATINUM,Platinum,Platina,白金
CONTEXT_METAL_SILVER,Silver,Prata,銀
CONTEXT_NETWORK_CHANNEL,Channel,Canal,チャンネル
CONTEXT_NETWORK_CONNECT,Connect,Conectar,コネクト
CONTEXT_OBJECTIVE,Objective,Objetivo,目標
CONTEXT_OBJECTIVE_ASSIST,Assist,Assistência,アシスト
CONTEXT_OBJECTIVE_ASSIST_PLURAL,Assists,Assistências,アシスト
CONTEXT_OBJECTIVE_ATTACK,Attack,Atacar,攻める
CONTEXT_OBJECTIVE_BONUS,Bonus,Bônus,ボーナス
CONTEXT_OBJECTIVE_CAPTURE,Capture,Capturar,確保する
CONTEXT_OBJECTIVE_COMPLETE,Complete,Completo,完了済
CONTEXT_OBJECTIVE_CONTEXT_FINISHED,The End,Fim,終わり
CONTEXT_OBJECTIVE_CONTEXTOVER,Game over!,Fim de jogo!,ゲームオーバー！
CONTEXT_OBJECTIVE_CONTEXTOVER_CAPS,GAME OVER!,FIM DE JOGO!,ゲームオーバー！
CONTEXT_OBJECTIVE_DEATH,Death,Morte,デス
CONTEXT_OBJECTIVE_DEATH_PLURAL,Deaths,Mortes,デス
CONTEXT_OBJECTIVE_DEFEND,Defend,Defender,守る
CONTEXT_OBJECTIVE_DESTROY,Destroy,Destruir,破壊する
CONTEXT_OBJECTIVE_ESCAPE,Escape,Escapar,逃走する
CONTEXT_OBJECTIVE_HIGH_SCORE,High score,Recorde,ハイスコア
CONTEXT_OBJECTIVE_INCOMPLETE,Incomplete,Incompleto,未完了
CONTEXT_OBJECTIVE_KILL,Kill,Matar,キル
CONTEXT_OBJECTIVE_KILL_ASSIST,Kill Assist,Morte Assistida,キルアシスト
CONTEXT_OBJECTIVE_KILL_NOUN,Kill,Morte,キル
CONTEXT_OBJECTIVE_KILL_PLURAL,Kills,Mortes,キル
CONTEXT_OBJECTIVE_LOCKED,Locked,Bloqueado,ロック中
CONTEXT_OBJECTIVE_LOSSES,Losses,Derrotas,敗北
CONTEXT_OBJECTIVE_MATCH,Match,Partida,マッチ
CONTEXT_OBJECTIVE_MISSION,Mission,Missão,ミッション
CONTEXT_OBJECTIVE_MISSION_OBJECTIVE,Mission Objective,Objetivo da missão,ミッション目標
CONTEXT_OBJECTIVE_MISSION_OBJECTIVE_PLURAL,Mission Objectives,Objetivos da missão,ミッション目標
CONTEXT_OBJECTIVE_MULTIPLIER,Multiplier,Multiplicador,倍
CONTEXT_OBJECTIVE_PLURAL,Objectives,Objetivos,目標
CONTEXT_OBJECTIVE_POSITION,Position,Posição,ポジション
CONTEXT_OBJECTIVE_RACE_LAP,Lap,Volta,ラップ
CONTEXT_OBJECTIVE_RACE_LAP_PLURAL,Laps,Voltas,ラップ
CONTEXT_OBJECTIVE_ROUND,Round,Rodada,ラウンド
CONTEXT_OBJECTIVE_SCORE,Score,Pontuação,スコア
CONTEXT_OBJECTIVE_TIME,Time,Tempo,タイム
CONTEXT_OBJECTIVE_TIME_LEFT,Time left,Tempo restante,残り時間
CONTEXT_OBJECTIVE_TOURNAMENT,Tournament,Torneio,トーナメント
CONTEXT_OBJECTIVE_TOURNAMENT_PLURAL,Tournaments,Torneios,トーナメント
CONTEXT_OBJECTIVE_WINS,Wins,Vitórias,勝利
CONTEXT_PLACE_BRAWL_ISLAND,Brawl Island,Ilha da Pancadaria,喧嘩の島
CONTEXT_PLACE_CASTLE,Castle,Castelo,城
CONTEXT_PLACE_CAVE,Cave,Gruta,洞窟
